id_vente_mensuelle,id_produit,annee,mois,quantite,prix_moyen_unitaire
96755726-f7b8-75f1-631b-ec7b55b45717,e09188fe-1cba-4a58-71cb-d0a5153f8465,2020,1,244,11.85
43c37b5e-02c6-4256-3b11-d5aa85215593,0d801bc1-cf93-b814-e6b6-867d6d568b65,2020,1,228,14.21
f8d19b02-5415-af2d-3eaa-e1399218d95c,1c6ecee9-6281-b128-4fab-3a114050e2af,2020,1,100,11.88
bee5d6fb-9c6a-fbae-1558-a53b1645bde5,a959c058-b529-3fae-d107-2e9212687fce,2020,1,239,11.11
6c182a27-2938-a400-a8a7-56dc5e949cb4,a805ffe0-c77a-9b91-1dd5-86d3bd76db4c,2020,1,107,18.13
7048e69a-1541-d0a1-7641-8f3547783dcc,db36c9b2-b05a-e11c-9c7d-6f2ed95c39bd,2020,1,58,13.44
541650f2-2a21-9623-d71b-378e44abbaef,9e8d7cb0-3eb5-55bf-8b77-d22ab16249ac,2020,1,52,9.77
1994d424-84c2-8bf8-e077-a764c6a6e6d4,89c580d3-4628-ab6c-8208-8d3ddb55ed41,2020,1,90,17.38
d0596d4e-b071-d384-d5a0-b805c61049da,5e8bc4be-7f1c-47fc-f303-ccb9d42969e5,2020,1,90,13.80
bd849a95-7ef5-b018-0ee3-ad474ebffe34,b6777ff0-8c64-6f91-6389-28cf6fb8f506,2020,1,52,11.07
ef24dd59-e586-0c20-488b-eb2442b427e5,89df2eeb-6f7f-a085-de29-bba7d9d86899,2020,1,358,5.68
51e1f766-c206-8ec6-e925-8b76ade6f5d7,3f792046-65b6-9c84-8d44-1168d8d6bb2f,2020,1,340,5.54
c4eb1a09-c721-0780-56f4-36d18cd4df32,943cf696-94e8-9702-5b0c-59349e9bd967,2020,1,340,7.18
962666b6-bf0a-35b1-f3ac-2f8926b2bf42,1feeb8af-5f39-7cd2-89c5-9a5f54fbca4c,2020,1,65,8.00
d2adf178-2593-ad6f-9026-db947f97a91b,5fca3fa8-0355-bc7d-48e1-f14eba91c4d0,2020,1,73,5.17
d63b9e48-bdcc-0864-b56d-114aa78d7f2f,dc376410-0f50-25a9-9f5b-6baad2887f1b,2020,1,312,4.85
66b7eabf-eede-bd99-c02b-e190599e213c,627d5aea-6883-499c-591a-ed1b1a2f0453,2020,1,55,5.25
e5eff60f-066b-a88e-bfd0-4d40292034f9,4e27c827-f374-507c-0c38-73b8f1c2fe87,2020,1,142,7.26
c34cbebe-1dd5-5844-9ee0-586530226a18,4ef593e8-53a4-f85b-c8db-9d1ab7710e08,2020,1,148,6.11
1d254d4e-baf6-3780-5bda-32b2811dc1c3,c53c4d5a-6a10-71b2-9016-c2c3614d3186,2020,1,54,6.87
a06b8e00-15b5-eec8-b911-d7f390a1df06,296c00a6-2323-2bb5-1678-0e3d009e8cd9,2020,1,241,12.22
b5c492ba-9f68-681b-1181-74c270d3732d,916dd668-841b-770e-1bed-1eadbb15cd24,2020,1,85,15.16
ea864dfb-b8f3-4b19-bbbf-ab9bb5bebbaa,9e72a8e6-808d-57b5-f5d4-f37f40093067,2020,1,241,11.26
ea6c5052-9874-cbf0-d6af-59882bde4c62,da1dd1ec-b620-bfe2-95c4-a8f007c1055d,2020,1,113,12.07
46fa28f2-42fd-d599-4947-3c24b25a56bc,0078aa35-58c4-9e94-f525-ad5461ef3c8b,2020,1,102,15.47
